Unsaved report
All time
Exclusion,Placement url,Type
vg.hu,http://vg.hu,Site
mandiner.hu,http://mandiner.hu,Site
888.hu,http://888.hu,Site
borsonline.hu,http://borsonline.hu,Site
mno.hu,http://mno.hu,Site
echotv.hu,http://echotv.hu,Site
hirtv.hu,http://hirtv.hu,Site
origo.hu,http://origo.hu,Site
figyelo.hu,http://figyelo.hu,Site
magyarhirlap.hu,http://magyarhirlap.hu,Site
ripost.hu,http://ripost.hu,Site
magyaridok.hu,http://magyaridok.hu,Site
nemzetisport.hu,http://nemzetisport.hu,Site
metropol.hu,http://metropol.hu,Site
magyarnemzet.hu,http://magyarnemzet.hu,Site
